File	Campus	Collection	Description	Status	Access Restrictions	URL	Extent:Size	Hosted	Need for DAMS solution	Metadata standard	Metadata level	Ready for Surfacing
appendixA.csv	UCD	K.W. Lee Papers	Contains court records and correspondence documenting Chol Soo Lee murder case and appeals. Also include digitized issues of Koreatown Newspaper.	Completed	No		130GB	CDL (Calisphere/OAC)	Medium	MODS, METS	Item level; Collection level	
appendixA.csv	UCD	Labor Contracts (UFW)	This collection provides digital access to contracts between the United Farm Workers Union AFL-CIO and California growers spanning about 30 years. The project is a collaboration between the Digital Initiatives program and the Agricultural and Resource Economics Library. The goal of the project is to provide researchers with access to a searchable and browseable collection of otherwise elusive materials.	Completed	No		4291MB	Locally (UCD Library Web Server); CDL (OAC)	Low	MARC, TEI 	Item	
appendixA.csv	UCI	F. Sherwood Rowland born digital files	Dr. F. Sherwood Rowland, Donald Bren Research Professor of Chemistry in Earth System Science, came to the University of California Irvine in 1964 as the first chair of the Department of Chemistry. Dr. Rowland was, with postdoctoral colleague Mario Molina, the first to warn that chlorofluorocarbons (CFCs) released into the atmosphere were depleting the earthís critical ozone layer. Collection comprises Desktop and Document directories from Dr. Rowland's Mac and Macbook Pro.	Planning			12 GB	Current: Locally (Redundantly on hard drives), Future: CDL (Merritt for Preservation) and Locally (UCISpace)	Medium		Future: Series Level, Item Level	
appendixA.csv	UCI	J. Hillis Miller born digital files	"3 1/2"" floppy disks: approximately 300 Ranges from 720 KB to 1.4 MB each; 5 1/4"" floppy disks: 152 Ranges from 360 KB to 1.2 MB each; External hard drives: 2 Unknown MB"	Ongoing	No		25 GB	Current: Locally (floppy disks and USB Hard Drives), Future: CDL (Merritt for Preservation) and Locally (UCISpace)	Medium		Future: Series Level, Item Level	
appendixA.csv	UCI	Stanley Fish born digital files	"80 3.5"" Floppies 158 5.25"" Floppies 1 external HD - Unknown Size"	Planning				Current: Locally (floppy disks and USB Hard Drives), Future: CDL (Merritt for Preservation) and Locally (UCISpace)	Medium		Future: Series Level, Item Level	
appendixA.csv	UCI	Edward Cochems photographs	This collection is comprised of approximately 1,200 photographs taken by Edward W. Cochems, a prominent commercial photographer in Santa Ana, California, between ca. 1919-ca. 1949. The images are principally views of Southern California, primarily Orange County locations.	Ongoing	No		14.7 GB	Locally (Canto Cumulus)	High	Custom	Item	
appendixA.csv	UCI	Hugh McMillan photographs	This collection consists of black and white photographs taken by Hugh McMillan in the late 1940s and 1950s. Most of the photos were taken in and around Newport Beach while McMillan worked as a reporter and photographer for the Ensign newspaper.	Ongoing	No		20.2 GB	Locally (Canto Cumulus)	High	Custom	Item	
appendixA.csv	UCI	W. Gearhardt photographs	Photographs of Newport Beach, Costa Mesa, Corona del Mar, and other Orange County localities	Ongoing	No		51.6 GB	Locally (Canto Cumulus)	High	Custom	Item	
appendixA.csv	UCI	Frank Cancian photographs of Orange County housecleaners, Zinacantan, and Lacedonia	Frank Cancian Documentary Photograph Archive	Completed	No	http://library.artstor.org/library/welcome.html#3|search|6|All20Collections3A20cancian|Filtered20Search|||type3D3626kw3Dcancian26geoIds3D26clsIds3D26id3Dall26bDate3D26eDate3D26dExact3D3126prGeoId3D		ARTStor	High		Item	
appendixA.csv	UCI	Early campus photograph albums	The Early Campus Photo Albums comprise 372 photographs documenting UCIís first decade, 1959-1969. The mostly black and white photographs are arranged in chronological order in seven bound volumes. Many prints are 11 x 14 with excellent image quality. Coverage includes aerial and landscape photographs of the campus and Irvine Ranch area, construction of major campus buildings, scenes from daily campus life, and significant events and people from UCIís early history.	Ongoing	No		456 MB	Locally (Canto Cumulus)	High	Custom	n/a	
appendixA.csv	UCI	University Communications images		Ongoing	No		581 GB	Locally (Canto Cumulus)	High	Custom	Item	
appendixA.csv	UCI	Eugene Loring films	Video files from the various stages of Loring's career, which culminated in a position as the founding chairman of the University of California, Irvine Dance Department (1965-1978).	Ongoing	No		15.9 GB	Locally (Canto Cumulus)	High	Custom	Item	
appendixA.csv	UCI	Michael Merrifield videos		Ongoing	No		105 GB	Locally (Canto Cumulus)	High	Custom	Item	
appendixA.csv	UCI	Duc Nguyen video footage for Bolinao 52	raw video footage used in the creation of the Emmy-winning documentary, Bolinao 52, by Duc Nguyen.	Completed	No	http://ucispace.lib.uci.edu/handle/10575/1593		Locally (UCISpace dspace instance), CDL (Preserved in Merritt)	Medium	Dublin Core	Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Hugh Everett III Manuscripts	scanned original documents and audio recordings related to Hugh Everett III (November 11, 1930 ñ July 19, 1982), the American physicist who first proposed what has come to be known as the many-worlds interpretation (MWI) of quantum physics.	Completed	No	http://ucispace.lib.uci.edu/handle/10575/1060	569 MB	Locally (UCISpace dspace instance), CDL (Preserved in Merritt)	Medium	Dublin Core	Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Jaded magazines	Jaded, an alternative media magazine published by students at the University of California, Irvine, attempted to celebrate and support the Asian Pacific Islander community, according to its mission statement, by retelling the past, engaging the present, and creating a voice for the future. This collection includes all 12 issues published from 2004-2007.	Completed	No	http://ucispace.lib.uci.edu/handle/10575/1076	175 MB	Locally (UCISpace dspace instance), CDL (Preserved in Merritt)	Medium	Dublin Core	Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Paul de Man manuscripts	The unpublished manuscripts in this online collection are book length projects that Paul de Man worked on during his life but never published. There are two separate manuscripts, a handwritten manuscript on Rousseau entitled Textual Allegories, and the edited collection of translations The Portable Rousseau.	Completed	No	http://ucispace.lib.uci.edu/handle/10575/1090	297 MB	Locally (UCISpace dspace instance), CDL (Preserved in Merritt)	Medium	Dublin Core	Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Raymond L. Watson born digital files and digitzed slides	Raymond L. Watson (1926-) is an architect and planner and former President and CEO of The Irvine Company. Included in this collection are electronic word-processing files, created between 1992 and 2010, and digitized slides, created in 1996 and 1997.	Completed	No	http://ucispace.lib.uci.edu/handle/10575/1656		Locally (UCISpace dspace instance), CDL (Preserved in Merritt)	Medium	Dublin Core	Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Richard Rorty born digital files	Richard Rorty (1931-2007) was a pragmatist philosopher, critical theorist, and public intellectual who is commonly described as one of the most important thinkers of his era. Included in this collection are electronic word-processing files, created between 1988 and 2003.	Completed	No	http://ucispace.lib.uci.edu/handle/10575/7	739 MB	Locally (UCISpace dspace instance), CDL (Preserved in Merritt)	Medium	Dublin Core	Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Orange County Government Information Web Archive	This on-line archive includes material issued by the County of Orange and all 33 cities in the county. There is an emphasis is on budgets, general plans, and significant planning documents. Most of the county and city websites are scanned annually beginning in 2007.	Completed	No	http://webarchives.cdlib.org/a/ocgovinfo		CDL (WAS)	Medium		Container Level, Item Level	
appendixA.csv	UCI	Salvadoran Presidential Election March 2009 - Web Archive	A web archive of Salvadoran government websites: Tracing content changes before and after the March 15, 2009 presidential elections	Completed	No	http://webarchives.cdlib.org/a/salvador		CDL (WAS)	Medium		Container Level, Item Level	
appendixA.csv	UCI	Mark Poster papers	Mark Poster is a professor emeritus of the History Department, the Department of Film and Media Studies, and the Critical Theory Emphasis. He was also director of the Critical Theory Institute at the University of California, Irvine.	Ongoing	No			Locally (UCISpace dspace instance), CDL (Preserved in Merritt)	Medium	Dublin Core	Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Vietnamese American Oral History project	The Vietnamese American Oral History Project (VAOHP) at UC Irvine collects, preserves, and disseminates the life stories of Vietnamese Americans in Southern California. Along with original audio-taped life stories, the VAOHP includes Vietnamese and/or English-language transcripts of the interviews, time log summaries, and photographs of each narrator.	Ongoing	No			Locally (UCISpace dspace instance), CDL (Preserved in Merritt)	Medium	Dublin Core	Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Quest for Peace interviews	The Quest for Peace interviews are a comprehensive collection of interviews conducted between 1983 and 1989 with some of the most informed, influential, and thoughtful people from the United States, the then Soviet Union, and other countries around the world.	Completed	No	http://www.lib.uci.edu/quest/		Locally	Medium		Collection Level, Series Level	
appendixA.csv	UCI	Frank Cancian photographs of Main Street UCI	Frank Cancian is a Cultural Anthropology Professor at UCI. In August 2010, Cancian initiated the Main Street UCI project to document campus life, focusing on UCIís ìMain Streetî (the Ring Mall between Social Sciences Buildings and the Student Center). Cancian now has approximately 3,000 digital images that he wishes to preserve and make accessible through UCISpace @ The Libraries.	Ongoing	No				Medium		n/a	
appendixA.csv	UCI	Orange County Surveys	The Special Survey of Orange County and preceding the Orange County Annual Survey are conducted by Mark Baldassare, formerly with the University of California, Irvine, and now at the Public Policy Institute of California. Co-director of the Orange County Annual Survey was Cheryl Katz. These datasets are archived here under an agreement by Mark Baldassare with the University of California, Irvine's School of Social Ecology. This digital archive is maintained by the Social Science Data Archives at the University of California, Irvine, Libraries. We thank the UCI Communications Office for making available digitized versions of the 1996-2000 Orange County Annual Survey reports.	Completed	No	http://data.lib.uci.edu/ocs/		Locally (Social Science Data Archive)	Low		Collection Level, Series Level	
appendixA.csv	UCI	Sam McCulloch oral histories	This collection comprises oral history interviews conducted with 97 prominent faculty and administrators of the University of California, Irvine (UCI) by Samuel C. McCulloch, UCI historian and emeritus professor of History, who was a member of the founding faculty.	Planning				Locally (audio tape)	Low		n/a	
appendixA.csv	UCI	eScholarship: LAUC-I and Library Staff Research		Ongoing	No			CDL (eScholarship)	Low		Item level; Series level	
appendixA.csv	UCI	SEAAdoc	Web portal that consolidates digitized content from the UCI Libraries Southeast Asian Archive that lives in the Online Archive of California	Completed	No	http://seaadoc.lib.uci.edu/		Locally (main site), CDL via Calisphere (some content)	Low		Collection Level, Container level, Item Level	
appendixA.csv	UCI	Anteater Chronicles	Database with a web front end of the resources related the the 40th anniversary of the campus in 2005.	Completed	No	http://www.lib.uci.edu/ucihistory/		Locally	Low		Collection Level	
appendixA.csv	UCI	Bonner (Mitchell I.) Photographs and Ephemera		Completed	No	http://www.oac.cdlib.org/findaid/ark:/13030/kt996nd0d0/		CDL (Calisphere/OAC)	Low	EAD, Dublin Core	Archive Level, Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Fort Chaffee Photographs of Vietnamese and Cambodian Refugees		Completed	No	http://www.oac.cdlib.org/findaid/ark:/13030/kt2f59q35j/		CDL (Calisphere/OAC)	Low	EAD, Dublin Core	Archive Level, Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Pacific Poll		Completed	No	http://pacpoll.lib.uci.edu/		Locally (Social Science Data Archive)	Low		Collection Level, Series Level	
appendixA.csv	UCI	World Values Survey: Vietnam	This dataset is provided courtesy of the Center for the Study of Democracy at UC Irvine. It is mounted here using SDA data analysis software by the Social Science Data Archives at UC Irvine Libraries for secondary analysis.	Completed	No	http://data.lib.uci.edu/wvsv/		Locally (Social Science Data Archive)	Low		Collection Level, Series Level	
appendixA.csv	UCI	Frank (Anne) Photographs of Southeast Asian American Communities		Completed	No	http://www.oac.cdlib.org/findaid/ark:/13030/kt4p3021fr/		CDL (Calisphere/OAC)	Low	EAD, Dublin Core	Archive Level, Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Ly Kien Truc Photographs of the Hi-Tek Demonstrations		Completed	No	http://www.oac.cdlib.org/findaid/ark:/13030/kt85801594/		CDL (Calisphere/OAC)	Low	EAD, Dublin Core	Archive Level, Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Marshall (Brigitte) Files on Southeast Asian Refugees.		Completed	No	http://www.oac.cdlib.org/findaid/ark:/13030/kt1h4nb6dt/		CDL (Calisphere/OAC)	Low	EAD, Dublin Core	Archive Level, Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Morrison (Gayle) Files on Southeast Asian Refugees		Completed	No	http://www.oac.cdlib.org/findaid/ark:/13030/kt6s2013d1/		CDL (Calisphere/OAC)	Low	EAD, Dublin Core	Archive Level, Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Project Ngoc Records		Completed	No	http://www.oac.cdlib.org/findaid/ark:/13030/kt8z09p8pd/		CDL (Calisphere/OAC)	Low	EAD, Dublin Core	Archive Level, Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Refugee Forums, Collection on		Completed	No	http://www.oac.cdlib.org/findaid/ark:/13030/kt5s2013bp/		CDL (Calisphere/OAC)	Low	EAD, Dublin Core	Archive Level, Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Southeast Asia Resource Action Center Records		Completed	No	http://www.oac.cdlib.org/findaid/ark:/13030/kt467nc6pc/		CDL (Calisphere/OAC)	Low	EAD, Dublin Core	Archive Level, Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Southeast Asian Archive Vertical File Collection		Completed	No	http://www.oac.cdlib.org/findaid/ark:/13030/kt7j49q6qg/		CDL (Calisphere/OAC)	Low	EAD, Dublin Core	Archive Level, Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Southeast Asian Genetics Program records		Completed	No	http://www.oac.cdlib.org/findaid/ark:/13030/kt1h4nb6fb/		CDL (Calisphere/OAC)	Low	EAD, Dublin Core	Archive Level, Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Tran (Paul) Files on Southeast Asian Refugees		Completed	No	http://www.oac.cdlib.org/findaid/ark:/13030/tf8f59p1tg/		CDL (Calisphere/OAC)	Low	EAD, Dublin Core	Archive Level, Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Walsh (Robert) Files on Southeast Asian Refugee Resettlement and Education		Completed	No	http://www.oac.cdlib.org/findaid/ark:/13030/kt6v19p6sq/		CDL (Calisphere/OAC)	Low	EAD, Dublin Core	Archive Level, Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Egan (Richard) Manuscript Maps of Orange County		Completed	No	http://www.oac.cdlib.org/findaid/ark:/13030/tf9k4009f8/		CDL (Calisphere/OAC)	Low	EAD, Dublin Core	Archive Level, Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Orange County Californio Families Portrait Photograph Album		Completed	No	http://www.oac.cdlib.org/findaid/ark:/13030/kt196nc419/		CDL (Calisphere/OAC)	Low	EAD, Dublin Core	Archive Level, Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Orange County Rancho Title Abstracts, Collection of		Completed	No	http://www.oac.cdlib.org/findaid/ark:/13030/kt1m3nb7nk/		CDL (Calisphere/OAC)	Low	EAD, Dublin Core	Archive Level, Collection Level, Series Level, Item Level	
appendixA.csv	UCI	Pleasants Family Papers		Completed	No	http://www.oac.cdlib.org/findaid/ark:/13030/tf967nb619/		CDL (Calisphere/OAC)	Low	EAD, Dublin Core	Archive Level, Collection Level, Series Level, Item Level	
appendixA.csv	UCI	"eScholarship: ""Time Will Tell, But Epistemology Won't: In Memory of Richard Rorty"" A Symposium to Celebrate Richard Rorty's Archive"	On May 14, 2010, UC Irvine hosted a symposium to celebrate the opening of the Richard Rorty Papers in the UC Irvine Libraries Critical Theory Archive for research. Rorty was a pragmatist philosopher, critical theorist, and public intellectual who is commonly described as one of the most important thinkers of his era. In addition to almost 25 linear feet of papers, the Richard Rorty Archive also include over 1,000 born-digital word processing files that were preserved from Rorty's floppy disks in UCIspace @ the Libraries.	Completed	No			CDL (eScholarship)	Low		Item level; Series level	
appendixA.csv	UCI	UCI ETDs		Ongoing	Restricted		14 GB	CDL (Merritt for preservation), Third Party (ProQuest for Access)	Low	Dublin Core, MARC	Container Level, Item Level	
appendixA.csv	UCM	Ruth and Sherman Lee Institute for Japanese Art Collection	Digitization of museum collection of over 1200 works of art; includes scroll paintings, sculptures, ceramics, textiles, albums; images and QTVR for 3-D objects	Ongoing	No		475 GB	Local: Network Servers, CDL service: OAC/Calisphere, Third-party: UCB METS server, SDSC SRB storage	High	MODS; METS; modified VRA Core 	Collection Level, Item Level	
appendixA.csv	UCM	WWII Japanese American Assembly Center newsletters	Newspapers published by internees at Merced, Pinedale, and Turlock assembly centers	Completed	No		1.75 GB	Local: Network Servers	High	MARC	Collection Level	
appendixA.csv	UCM	Mugbook, Merced County, ca.1890-1907	Official arrest record of the criminals that passed through the county jail	Completed	No		57 GB	Local: Network Servers	High	MARC for mugbook	Item Level	
appendixA.csv	UCM	McLean collection	Items from private family collection, includes hotel register (visitors to Yosemite National Park), journals, photographs; collection also includes mining specimens and artifacts	Completed	No		58 GB	Local: Network Servers	High			
appendixA.csv	UCM	Angels Camp Museum	Documents and artifacts related to history of Angels Camp, CA; primarily mining related	Completed	No		1 GB	Local: Network Servers	High			
appendixA.csv	UCM	Chinese seals	Imprints and drawings of Chinese seals dating from the Warring States Period (5th century BC) to the 20th century, contained in 14-volume set	Completed	No	http://ucmercedlibrary.info/on-display/special-collections/chinese-seals	2.6 GB	Local: Network Servers, website	Medium	MARC	Container Level	
appendixA.csv	UCM	ETDs	archive and make available theses and dissertations produced by UC Merced students	Ongoing	Some items restricted		.5 GB	Local: Network Servers, CDL: Merritt, eScholarship	Medium	MARC, ProQuest XML	Item level	
appendixA.csv	UCM	U.S. Census of Manufactures, selected years	Faculty request: published by U.S. Chamber of Commerce, volumes from 1947, 1954, 1958, 1963, 1967, 1972, 1977	Ongoing	No		TBD	planned: CDL eScholarship	Medium	MARC	Item level	
appendixA.csv	UCM	Soil Resource Inventory of Sequoia National Park, Central Part, California, 1987	Faculty request; National Park Service publication	Completed	No	http://escholarship.org/uc/item/2x96d3sn	1 GB	CDL (eScholarship)	Medium	MARC	Item level	
appendixA.csv	UCM	Journal of California Anthropology	Complete run of journal published by Malki Museum; 5-year embargo on most recent issues	Ongoing	No	http://escholarship.org/uc/search?entity=ucmercedlibrary_jca	75 GB	Local:Network Servers, CDL: eScholarship	Low	MARC, (escholarship standard?)	Item level	
appendixA.csv	UCM	Journal of California and Great Basin Anthropology	Complete run of journal published by Malki Museum; 5-year embargo on most recent issues	Ongoing	No	http://escholarship.org/uc/search?entity=ucmercedlibrary_jcgba	75 GB	Local:Network Servers, CDL: eScholarship	Low	MARC, (escholarship standard?)	Item level	
appendixA.csv	UCM	Henry O. Nightingale diary	Diary of Civil War soldier with firsthand account of Lincoln assasination	Completed	No	http://content.cdlib.org/ark:/13030/kt9h4nf6h6/	53 GB	Local: Network Servers, CDL: Merritt, OAC/Calisphere	Low	EAD, METS	Item level	
appendixA.csv	UCR	Oral History Interviews	Oral History interviews regarding UCR, the Tuskegee Airmen, World War II, and Science Fiction Fandom	Ongoing	No		350GB	n/a	High	n/a	None	
appendixA.csv	UCR	University Archives photographs	Photographs regarding UC Riverside	Ongoing	No	http://www.flickr.com/photos/ucrspecialcollections/sets/72157623308538614/	1GB	Flickr	High	Dublin Core	Item	
appendixA.csv	UCR	Sabino Osuna papers	Glass plate negatives of the Mexican Revolution	Completed	No		8 GB	n/a	High	Dublin Core	Item	
appendixA.csv	UCR	Tuskgee Airmen Archive	Documents photographs regarding the Tuskegee Airmen	Ongoing	No	http://www.flickr.com/photos/ucrspecialcollections/sets/72157627672095642/		Flickr	High	Dublin Core	Item	
appendixA.csv	UCR	George Fujimoto diaries	Diaries kept by George Fujimoto, Sr. and Jr. including experience in WWII internment camps.	Ongoing	Some items restricted		12GB	n/a	High	n/a	None	
appendixA.csv	UCR	The Highlander student newspaper	Born digital copies of The Highlander student newspaper	Ongoing	No		3GB	n/a	High	n/a	None	
appendixA.csv	UCR	Oswald Jonas memorial collection	Documents/images regarding music theorists Schenker, Jonas, and Violin	Ongoing	Some items restricted		43GB	n/a	High	n/a	None	
appendixA.csv	UCR	Mexican Revolution photographs	Photographs of the Mexican Revolution from various archival collections	Completed	No		1GB	n/a	High	n/a	None	
appendixA.csv	UCR	Tom·s Rivera Archive	Photographs/documents from the Tom·s Rivera Archive	Ongoing	No		5GB	n/a	High	n/a	None	
appendixA.csv	UCR	Anne McCaffrey papers	Documents from the Anne McCaffrey papers	Completed	No	http://www.flickr.com/photos/ucrspecialcollections/sets/72157623547417199/	1GB	Flickr	High	Dublin Core	Item	
appendixA.csv	UCR	Riverside, California photographs	Photographs regarding Riverside, CA	Ongoing	No	http://www.flickr.com/photos/ucrspecialcollections/sets/72157624695915567/	1GB	Flickr	High	Dublin Core	Item	
appendixA.csv	UCR	WRCA Lippincott Collection [Lee Collection & other published non-circulating materials]	Images of the Colorodo River from Lippincott and images from Lee Collection of eastern Sierra; textual materials pertaining to the Santa Ana River Watershed	Ongoing	No			n/a	High	n/a	None	
appendixA.csv	UCR	The Citrus Industry (1967-1989)	Historic work related to the Citrus Industry/CES	Completed	No	http://websites.lib.ucr.edu/agnic/webber/		Locally (web-based)	Medium	n/a	None	
appendixA.csv	UCR	A History of Subtropical fruits and nuts in California (1963)	Historic work related to the Citrus Industry/CES	Completed	No	http://websites.lib.ucr.edu/agnic/butterfield/butterfield.pdf	15MB	Locally (web-based)	Medium	n/a	None	
appendixA.csv	UCR	Citrus Fruits and their Culture in Kwangtung Province, South China(circa 1936)	Historic work related to the Citrus Industry/CES	Completed	No	http://websites.lib.ucr.edu/agnic/condit.pdf	6MB	Locally (web-based)	Medium	n/a	None	
appendixA.csv	UCR	Avery E. Field collection	Photographs, negatives, and other material documenting the growth and development of Riverside, California in the first half of the 20th century.	Ongoing	No	http://cdm16353.contentdm.oclc.org/cdm/landingpage/collection/p15226dc	3GB	CONTENTdm, Calisphere	Medium	Dublin Core	Item	
appendixA.csv	UCR	Pre-1600 Single Leaf Registry (SLR)	Images of manuscript leaves detached from codices produced before 1600	Completed	No	http://slr.ucr.edu/		Locally (web-based)	Medium	Dublin Core	Item	
appendixA.csv	UCR	UCR Libraries Author Series video webcasts	Video files of the UCR Libraries Author Series lectures that were held from 2002-2007	Completed	No	http://library.ucr.edu/?l=news&article=466	5GB	Locally (web-based)	Medium	n/a	None	
appendixA.csv	UCR	WRCA Lippincott Collection [Los Angeles Aqueduct]	Approximately 800 photographs of the construction of the Los Angeles Aqueduct	Completed	No	http://www.oac.cdlib.org/findaid/ark:/13030/tf3h4nb0ks/dsc/#c02-1.8.6.4.10		CDL (Calisphere/OAC)	Medium	Dublin Core	Item	
appendixA.csv	UCR	WRCA ContentDM	Used OCLC web tool to harvest, catalog and preserve individual report from web	Ongoing	No			OCLC, Scotty, Melvyl	Medium	MARC	Item	
appendixA.csv	UCR	UCR faculty publications	Research publications by UCR faculty members	Ongoing	No	http://escholarship.org/uc/ucr		CDL (eScholarship)	Low	TEI	Item	
appendixA.csv	UCR	The B. Traven Collections at UC Riverside Libraries	Electronic exhibition featuring select digitized images drawn from our B. Traven holdings	Completed	No	http://library.ucr.edu/?view=collections/spcol/travensite/index.html		Locally (web-based)	Low	n/a	None	
appendixA.csv	UCR	Citrus Experiment Station Centennial Exhibition	Electronic exhibition featuring select digitized images drawn from our Citrus Experiment Station holdings	Completed	No	http://library.ucr.edu/?view=collections/spcol/ces/cesexhibit.html		Locally (web-based)	Low	n/a	None	
appendixA.csv	UCR	Web Archiving Service	Archived web pages of the UC Riverside website and local (Riverside County) government documents	Ongoing	Restricted			CDL (WAS)	Low	Dublin Core	Collection Level	
appendixA.csv	UCR	WRCA eScholarship	WRCA currently manages four paper series within eScholarship. These are called Hydrolology, Restoration of Rivers and Streams, Working Papers, Hydraulic Engineering Laboratory Reports and two Publication Series: Water Resources Center Technical Completion Reports and Contributions	Ongoing	No	http://escholarship.org/uc/wrca		CDL (eScholarship)	Low	n/a	Item	
appendixA.csv	UCR	WRCA Web Archiving Service California Water Districts	have 2 collections: California Water Districts and Sacramento-San Joaquin Delta	Completed	No	http://webarchives.cdlib.org/a/CAWaterDistricts		CDL (WAS)	Low	Dublin Core	Collection Level	
appendixA.csv	UCR	WRCA Web Archiving Service Sacramento-San Joaquin Delta	have 2 collections: California Water Districts and Sacramento-San Joaquin Delta	Completed	No	http://webarchives.cdlib.org/a/SacSJDelta		CDL (WAS)	Low	Dublin Core	Collection Level	
appendixA.csv	UCSF	Cholera Collection	Pamphlet collection	Completed	No	https://digital.library.ucsf.edu/		Locally using Omeka	High	Dublin Core	Item	
appendixA.csv	UCSF	Historic Photos	A selection of historic photos from Special Collections	Completed	No	https://digital.library.ucsf.edu/		Locally using Omeka	High	Dublin Core	Item	
appendixA.csv	UCSF	Homeopathy	A selection of key items of homeopathy materials from our special collections	Completed	No	http://www.library.ucsf.edu/collections/homeopathy		Locally, on a website	Medium	n/a	None	
appendixA.csv	UCSF	Synapse	UCSF Student newspaper	Ongoing	No	http://synapse.library.ucsf.edu/		Third-party: DL Consulting hosts our Veridian instance	Low	METS/ALTO	Item	
